"CODIGO"|"DESCRIÇÃO"|"AL_IBPT_NACIONAL"|"AL_IBPT_INTERNACIONAL"
"802"|"Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza"|0|0
"901"|"Hospedagem de qualquer natureza em hotéis, apart-service condominiais, flat, apart-hotéis, hotéis residência, residence-service, suite service, hotelaria marítima, motéis, pensões e congêneres; ocupação por temporada com fornecimento de serviço"|0|0
"902"|"Agenciamento, organização, promoção, intermediação e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres"|0|0
"903"|"Guias de turismo"|0|0
"1001"|"Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada"|17.80|18.40
"1002"|"Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer"|17.73|18.33
"1003"|"Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária"|18.29|18.89
"1004"|"Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring)"|17.72|18.32
"1005"|"Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios"|17.85|18.45
"1006"|"Agenciamento marítimo"|18.29|18.89
"1007"|"Agenciamento de notícias"|18.29|18.89
"1008"|"Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios"|18.21|18.81
"1009"|"Representação de qualquer natureza, inclusive comercial"|17.72|18.32
"1010"|"Distribuição de bens de terceiros"|17.85|18.45
"1101"|"Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações"|18.07|18.67
"1102"|"Vigilância, segurança ou monitoramento de bens e pessoas"|16.50|17.10
"1103"|"Escolta, inclusive de veículos e cargas"|16.76|17.36
"1104"|"Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie"|18.06|18.66
"1201"|"Espetáculos teatrais"|17.05|17.65
"1202"|"Exibições cinematográficas"|18.26|18.86
"1203"|"Espetáculos circenses"|17.13|17.73
"1204"|"Programas de auditório"|18.45|19.05
"1205"|"Parques de diversões, centros de lazer e congêneres"|17.13|17.73
"1206"|"Boates, taxi-dancing e congêneres"|18.34|18.94
"1207"|"Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres"|17.79|18.39
"1208"|"Feiras, exposições, congressos e congêneres"|17.76|18.36
"1209"|"Bilhares, boliches e diversões eletrônicas ou não"|18.42|19.02
"1210"|"Corridas e competições de animais"|18.45|19.05
"1211"|"Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador"|17.85|18.45
"1212"|"Execução de música"|18.45|19.05
"1213"|"Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres"|18.38|18.98
"1214"|"Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo"|18.45|19.05
"1215"|"Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres"|18.45|19.05
"1216"|"Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres"|17.88|18.48
"1217"|"Recreação e animação, inclusive em festas e eventos de qualquer natureza"|18.45|19.05
"1302"|"Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres"|18.45|19.05
"1303"|"Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres"|18.45|19.05
"1304"|"Reprografia, microfilmagem e digitalização"|17.13|17.73
"1305"|"Composição gráfica, fotocomposição, clicheria, zincografia, litografia, fotolitografia"|18.16|18.76
"1401"|"Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS)"|18.05|18.65
"1402"|"Assistência técnica"|18.45|19.05
"1403"|"Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS)"|18.45|19.05
"1404"|"Recauchutagem ou regeneração de pneus"|18.23|18.83
"1405"|"Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, polimento, plastificação e congêneres, de objetos quaisquer"|18.45|19.05
"1406"|"Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido"|18.45|19.05
"1407"|"Colocação de molduras e congêneres"|18.45|19.05
"1408"|"Encadernação, gravação e douração de livros, revistas e congêneres"|18.37|18.97
"1409"|"Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento"|18.01|18.61
"1410"|"Tinturaria e lavanderia"|18.45|19.05
"1411"|"Tapeçaria e reforma de estofamentos em geral"|18.45|19.05
"1412"|"Funilaria e lanternagem"|18.45|19.05
"1413"|"Carpintaria e serralheria"|18.45|19.05
"1501"|"Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira de clientes, de cheques pré-datados e congêneres"|17.15|17.75
"1502"|"Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas"|18.27|18.87
"1503"|"Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral"|18.44|19.04
"1504"|"Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres"|18.43|19.03
"1505"|"Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos CCF ou em quaisquer outros bancos cadastrais"|18.43|19.03
"1506"|"Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia"|18.44|19.04
"1507"|"Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo; acesso a outro banco e a rede compartilhada; fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo"|18.44|19.04
"1508"|"Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito; estudo, análise e avaliação de operações de crédito; emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres; serviços relativos a abertura de crédito, para quaisquer fins"|18.43|19.03
"1509"|"Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações, substituição de garantia, alteração, cancelamento e registro de contrato, e demais serviços relacionados ao arrendamento mercantil (leasing)"|15.68|16.28
"1510"|"Serviços relacionados a cobranças, recebimentos ou pagamentos em geral; fornecimento de posição de cobrança, recebimento ou pagamento; emissão de carnês, fichas de compensação, impressos e documentos em geral"|18.45|19.05
"1511"|"Devolução de títulos, protesto de títulos, sustação de protesto, manutenção de títulos, reapresentação de títulos, e demais serviços a eles relacionados"|18.45|19.05
"1512"|"Custódia em geral, inclusive de títulos e valores mobiliários"|18.44|19.04
"1513"|"Serviços relacionados a operações de câmbio em geral"|18.27|18.87
"1514"|"Fornecimento, emissão, reemissão, renovação e manutenção de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres"|18.44|19.04
"1515"|"Compensação de cheques e títulos quaisquer; serviços relacionados a depósito, inclusive depósito identificado, a saque de contas quaisquer, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento"|18.44|19.04
"1516"|"Emissão, reemissão, liquidação, alteração, cancelamento e baixa de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo; serviços relacionados à transferência de valores, dados, fundos, pagamentos e similares, inclusive entre contas em geral"|18.44|19.04
"1517"|"Emissão, fornecimento, devolução, sustação, cancelamento e oposição de cheques quaisquer, avulso ou por talão"|18.44|19.04
"1518"|"Serviços relacionados a crédito imobiliário, avaliação e vistoria de imóvel ou obra, análise técnica e jurídica, emissão, reemissão, alteração, transferência e renegociação de contrato, emissão e reemissão do termo de quitação e demais serviços relacionados a crédito imobiliário"|18.43|19.03
"1601"|"Serviços de transporte de natureza municipal"|16.06|16.66
"1701"|"Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista; análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares"|18.43|19.03
"1702"|"Datilografia, digitação, estenografia, expediente, secretaria em geral, resposta audível, redação, edição, interpretação, revisão, tradução, apoio e infra-estrutura administrativa e congêneres"|18.17|18.77
"1703"|"Planejamento, coordenação, programação ou organização técnica, financeira ou administrativa"|18.45|19.05
"1704"|"Recrutamento, agenciamento, seleção e colocação de mão-de-obra"|18.26|18.86
"1705"|"Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores, avulsos ou temporários, contratados pelo prestador de serviço"|16.94|17.54
"1706"|"Propaganda e publicidade, inclusive promoção de vendas, planejamento de campanhas ou sistemas de publicidade, elaboração de desenhos, textos e demais materiais publicitários"|17.75|18.35
"1708"|"Franquia (franchising)"|18.00|18.60
"1709"|"Perícias, laudos, exames técnicos e análises técnicas"|17.13|17.73
"1710"|"Planejamento, organização e administração de feiras, exposições, congressos e congêneres"|18.45|19.05
"1711"|"Organização de festas e recepções; bufê (exceto o fornecimento de alimentação e bebidas, que fica sujeito ao ICMS)"|18.45|19.05
"1712"|"Administração em geral, inclusive de bens e negócios de terceiros"|18.42|19.02
"1713"|"Leilão e congêneres"|18.45|19.05
"1714"|"Advocacia"|18.45|19.05
"1715"|"Arbitragem de qualquer espécie, inclusive jurídica"|18.45|19.05
"1716"|"Auditoria"|18.45|19.05
"1717"|"Análise de Organização e Métodos"|18.45|19.05
"1718"|"Atuária e cálculos técnicos de qualquer natureza"|18.45|19.05
"1719"|"Contabilidade, inclusive serviços técnicos e auxiliares"|18.45|19.05
"1720"|"Consultoria e assessoria econômica ou financeira"|18.43|19.03
"1721"|"Estatística"|18.45|19.05
"1722"|"Cobrança em geral"|18.45|19.05
"1723"|"Assessoria, análise, avaliação, atendimento, consulta, cadastro, seleção, gerenciamento de informações, administração de contas a receber ou a pagar e em geral, relacionados a operações de faturização (factoring)"|18.43|19.03
"1724"|"Apresentação de palestras, conferências, seminários e congêneres"|18.00|18.60
"1801"|"Serviços de regulação de sinistros vinculados a contratos de seguros; inspeção e avaliação de riscos para cobertura de contratos de seguros; prevenção e gerência de riscos seguráveis e congêneres"|18.31|18.91
"1901"|"Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres"|18.34|18.94
"2001"|"Serviços portuários, ferroportuários, utilização de porto, movimentação de passageiros, reboque de embarcações, rebocador escoteiro, atracação, desatracação, praticagem, capatazia, armazenagem, serviços acessórios, movimentação de mercadorias, apoio marítimo, movimentação ao largo, serviços de armadores, estiva, conferência, logística e congêneres"|18.45|19.05
"2002"|"Serviços aeroportuários, utilização de aeroporto, movimentação de passageiros, armazenagem de qualquer natureza, capatazia, movimentação de aeronaves, serviços de apoio aeroportuários, serviços acessórios, movimentação de mercadorias, logística e congêneres"|18.45|19.05
"2003"|"Serviços de terminais rodoviários, ferroviários, metroviários, movimentação de passageiros, mercadorias, inclusive     suas operações, logística e congêneres"|18.45|19.05
"2101"|"Serviços de registros públicos, cartorários e notariais"|17.85|18.45
"2201"|"Serviços de exploração de rodovia mediante cobrança de preço ou pedágio dos usuários, envolvendo execução de serviços de conservação, manutenção, melhoramentos para adequação de capacidade e segurança de trânsito, operação, monitoração, assistência aos usuários e outros serviços, atos de concessão ou de permissão ou em normas oficiais"|18.45|19.05
"2301"|"Serviços de programação e comunicação visual, desenho industrial e congêneres"|18.45|19.05
"2401"|"Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres"|18.45|19.05
"2501"|"Funerais, inclusive fornecimento de caixão, urna ou esquifes; aluguel de capela; transporte do corpo cadavérico; fornecimento de flores, coroas e outros paramentos; desembaraço de certidão de óbito; fornecimento de véu, essa e outros adornos; embalsamento, embelezamento, conservação ou restauração de cadáveres"|18.45|19.05
"2502"|"Cremação de corpos e partes de corpos cadavéricos"|18.45|19.05
"2503"|"Planos ou convênio funerários"|18.45|19.05
"2504"|"Manutenção e conservação de jazigos e cemitérios"|18.45|19.05
"2601"|"Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas; courrier e congêneres"|18.42|19.02
"2701"|"Serviços de assistência social"|18.45|19.05
"2801"|"Serviços de avaliação de bens e serviços de qualquer natureza"|18.45|19.05
"2901"|"Serviços de biblioteconomia"|18.45|19.05
"3001"|"Serviços de biologia, biotecnologia e química"|18.45|19.05
"3101"|"Serviços técnicos em edificações, eletrônica, eletrotécnica, mecânica, telecomunicações e congêneres"|18.45|19.05
"3201"|"Serviços de desenhos técnicos"|18.45|19.05
"3301"|"Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres"|18.45|19.05
"3401"|"Serviços de investigações particulares, detetives e congêneres"|18.45|19.05
"3501"|"Serviços de reportagem, assessoria de imprensa, jornalismo e relações públicas"|18.41|19.01
"3601"|"Serviços de meteorologia"|18.45|19.05
"3701"|"Serviços de artistas, atletas, modelos e manequins"|17.85|18.45
"3801"|"Serviços de museologia"|18.45|19.05
"3901"|"Serviços de ourivesaria e lapidação (quando o material for fornecido pelo tomador do serviço)"|18.45|19.05
"4001"|"Obras de arte sob encomenda"|18.45|19.05
